"region","label","name"
"inner","0","background"
"inner","4","left lateral ventricle"
"inner","5","left inferior lateral ventricle"
"inner","6","left cerebellem exterior"
"inner","7","left cerebellum white matter"
"inner","10","left thalamus proper"
"inner","11","left caudate"
"inner","12","left putamen"
"inner","13","left pallidium"
"inner","14","3rd ventricle"
"inner","15","4th ventricle"
"inner","16","brain stem"
"inner","17","left hippocampus"
"inner","18","left amygdala"
"inner","24","CSF"
"inner","25","left lesion"
"inner","26","left accumbens area"
"inner","28","left ventral DC"
"inner","30","left vessel"
"inner","43","right lateral ventricle"
"inner","44","right inferior lateral ventricle"
"inner","45","right cerebellum exterior"
"inner","46","right cerebellum white matter"
"inner","49","right thalamus proper"
"inner","50","right caudate"
"inner","51","right putamen"
"inner","52","right palladium"
"inner","53","right hippocampus"
"inner","54","right amygdala"
"inner","57","right lesion"
"inner","58","right accumbens area"
"inner","60","right ventral DC"
"inner","62","right vessel"
"inner","72","5th ventricle"
"inner","85","optic chasm"
"inner","91","left basal forebrain"
"inner","92","right basal forebrain"
"inner","630","cerebellar vermal lobules I-V"
"inner","631","cerebellar vermal lobules VI-VII"
"inner","632","cerebellar vermal lobules VIII-X"
"outer","1002","left caudal anterior cingulate"
"outer","1003","left caudal middle frontal"
"outer","1005","left cuneus"
"outer","1006","left entorhinal"
"outer","1007","left fusiform"
"outer","1008","left inferior parietal"
"outer","1009","left inferior temporal"
"outer","1010","left isthmus cingulate"
"outer","1011","left lateral occipital"
"outer","1012","left lateral orbitofrontal"
"outer","1013","left lingual"
"outer","1014","left medial orbitofrontal"
"outer","1015","left middle temporal"
"outer","1016","left parahippocampal"
"outer","1017","left paracentral"
"outer","1018","left pars opercularis"
"outer","1019","left pars orbitalis"
"outer","1020","left pars triangularis"
"outer","1021","left pericalcarine"
"outer","1022","left postcentral"
"outer","1023","left posterior cingulate"
"outer","1024","left precentral"
"outer","1025","left precuneus"
"outer","1026","left rostral anterior cingulate"
"outer","1027","left rostral middle frontal"
"outer","1028","left superior frontal"
"outer","1029","left superior parietal"
"outer","1030","left superior temporal"
"outer","1031","left supramarginal"
"outer","1034","left transverse temporal"
"outer","1035","left insula"
"outer","2002","right caudal anterior cingulate"
"outer","2003","right caudal middle frontal"
"outer","2005","right cuneus"
"outer","2006","right entorhinal"
"outer","2007","right fusiform"
"outer","2008","right inferior parietal"
"outer","2009","right inferior temporal"
"outer","2010","right isthmus cingulate"
"outer","2011","right lateral occipital"
"outer","2012","right lateral orbitofrontal"
"outer","2013","right lingual"
"outer","2014","right medial orbitofrontal"
"outer","2015","right middle temporal"
"outer","2016","right parahippocampal"
"outer","2017","right paracentral"
"outer","2018","right pars opercularis"
"outer","2019","right pars orbitalis"
"outer","2020","right pars triangularis"
"outer","2021","right pericalcarine"
"outer","2022","right postcentral"
"outer","2023","right posterior cingulate"
"outer","2024","right precentral"
"outer","2025","right precuneus"
"outer","2026","right rostral anterior cingulate"
"outer","2027","right rostral middle frontal"
"outer","2028","right superior frontal"
"outer","2029","right superior parietal"
"outer","2030","right superior temporal"
"outer","2031","right supramarginal"
"outer","2034","right transverse temporal"
"outer","2035","right insula"
"lobar frontal","1002","left caudal anterior cingulate"
"lobar frontal","1003","left caudal middle frontal"
"lobar frontal","1012","left lateral orbitofrontal"
"lobar frontal","1014","left medial orbitofrontal"
"lobar frontal","1017","left paracentral"
"lobar frontal","1018","left pars opercularis"
"lobar frontal","1019","left pars orbitalis"
"lobar frontal","1020","left pars triangularis"
"lobar frontal","1024","left precentral"
"lobar frontal","1026","left rostral anterior cingulate"
"lobar frontal","1027","left rostral middle frontal"
"lobar frontal","1028","left superior frontal"
"lobar frontal","2002","right caudal anterior cingulate"
"lobar frontal","2003","right caudal middle frontal"
"lobar frontal","2012","right lateral orbitofrontal"
"lobar frontal","2014","right medial orbitofrontal"
"lobar frontal","2017","right paracentral"
"lobar frontal","2018","right pars opercularis"
"lobar frontal","2019","right pars orbitalis"
"lobar frontal","2020","right pars triangularis"
"lobar frontal","2024","right precentral"
"lobar frontal","2026","right rostral anterior cingulate"
"lobar frontal","2027","right rostral middle frontal"
"lobar frontal","2028","right superior frontal"
"lobar parietal","1008","left inferior parietal"
"lobar parietal","1010","left isthmus cingulate"
"lobar parietal","1022","left postcentral"
"lobar parietal","1023","left posterior cingulate"
"lobar parietal","1025","left precuneus"
"lobar parietal","1029","left superior parietal"
"lobar parietal","1031","left supramarginal"
"lobar parietal","2008","right inferior parietal"
"lobar parietal","2010","right isthmus cingulate"
"lobar parietal","2022","right postcentral"
"lobar parietal","2023","right posterior cingulate"
"lobar parietal","2025","right precuneus"
"lobar parietal","2029","right superior parietal"
"lobar parietal","2031","right supramarginal"
"lobar temporal","1006","left entorhinal"
"lobar temporal","1007","left fusiform"
"lobar temporal","1009","left inferior temporal"
"lobar temporal","1015","left middle temporal"
"lobar temporal","1016","left parahippocampal"
"lobar temporal","1030","left superior temporal"
"lobar temporal","1034","left transverse temporal"
"lobar temporal","2006","right entorhinal"
"lobar temporal","2007","right fusiform"
"lobar temporal","2009","right inferior temporal"
"lobar temporal","2015","right middle temporal"
"lobar temporal","2016","right parahippocampal"
"lobar temporal","2030","right superior temporal"
"lobar temporal","2034","right transverse temporal"
"lobar occipital","1005","left cuneus"
"lobar occipital","1011","left lateral occipital"
"lobar occipital","1013","left lingual"
"lobar occipital","1021","left pericalcarine"
"lobar occipital","2005","right cuneus"
"lobar occipital","2011","right lateral occipital"
"lobar occipital","2013","right lingual"
"lobar occipital","2021","right pericalcarine"
"lobar other","1035","left insula"
"lobar other","2035","right insula"